Fri May 12 14:52:39 2023    debug_timer_rec

         447405400 function calls (431447914 primitive calls) in 908.807 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.015    0.015  908.806  908.806 1-v20230511152123version3.0.py:17(choose)
        5    0.001    0.000    0.104    0.021 1-v20230511152123version3.0.py:177(_dump_model)
        5    0.003    0.001    8.614    1.723 1-v20230511152123version3.0.py:185(_train)
       20    0.001    0.000    0.171    0.009 1-v20230511152123version3.0.py:198(_model_predict)
        5    0.000    0.000    0.000    0.000 1-v20230511152123version3.0.py:203(_draw_P_R)
        5    0.081    0.016    2.767    0.553 1-v20230511152123version3.0.py:232(_draw_plt_confusion_matrix)
        1    0.045    0.045    0.121    0.121 1-v20230511152123version3.0.py:285(_random_setting)
        5    0.024    0.005    0.081    0.016 1-v20230511152123version3.0.py:323(_split_k_folder)
        1    0.000    0.000  908.752  908.752 1-v20230511152123version3.0.py:36(__init__)
        1    0.211    0.211    1.673    1.673 1-v20230511152123version3.0.py:378(_make_dataset_ver_3)
        1    0.001    0.001  908.752  908.752 1-v20230511152123version3.0.py:417(_forward_ver_3)
        5    0.923    0.185    1.073    0.215 1-v20230511152123version3.0.py:426(_update_label_for_kmeans)
       45    0.000    0.000    0.000    0.000 1-v20230511152123version3.0.py:542(_calc_distance)
        1    0.016    0.016  906.957  906.957 1-v20230511152123version3.0.py:567(_forward_with_k_folder_ver_3)
        5    0.251    0.050  831.113  166.223 1-v20230511152123version3.0.py:599(_draw_test_info)
        5    0.000    0.000    0.003    0.001 1-v20230511152123version3.0.py:605(<listcomp>)
        5    0.000    0.000    0.003    0.001 1-v20230511152123version3.0.py:606(<listcomp>)
        5    0.002    0.000   63.002   12.600 1-v20230511152123version3.0.py:632(_judge_k_means)
        1    0.000    0.000  908.806  908.806 1-v20230511152123version3.0.py:641(main_new)
  1090000    1.625    0.000   14.672    0.000 <__array_function__ internals>:177(all)
     2934    0.003    0.000    0.033    0.000 <__array_function__ internals>:177(amax)
     2904    0.003    0.000    0.033    0.000 <__array_function__ internals>:177(amin)
   121001    0.267    0.000    3.137    0.000 <__array_function__ internals>:177(any)
  1025286    1.312    0.000   15.111    0.000 <__array_function__ internals>:177(append)
     1115    0.005    0.000    0.028    0.000 <__array_function__ internals>:177(argmin)
